客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,是否使用优惠码,历史购买次数,支付方式,购买频率
1,55,男,女式衬衫,服装,53,Kentucky,L,灰色,冬,3.1,是,快递,是,Yes,14,Venmo,每两周
2,19,男,毛衣,服装,64,Maine,L,栗色,冬,3.1,是,快递,是,Yes,2,现金,每两周
3,50,男,牛仔裤,服装,73,Massachusetts,S,栗色,春,3.1,是,包邮,是,Yes,23,信用卡,每周
4,21,男,凉鞋,鞋履,90,Rhode Island,M,栗色,春,3.5,是,次日达,是,Yes,49,PayPal,每周
5,45,男,女式衬衫,服装,49,Oregon,M,绿松石色,春,2.7,是,包邮,是,Yes,31,PayPal,每年
6,46,男,运动鞋,鞋履,20,Wyoming,M,白色,夏,2.9,是,标准快递,是,Yes,14,Venmo,每周
7,63,男,衬衫,服装,85,Montana,M,灰色,秋,3.2,是,包邮,是,Yes,49,现金,每季
8,27,男,短裤,服装,34,Louisiana,L,炭灰色,冬,3.2,是,包邮,是,Yes,19,信用卡,每周
9,26,男,大衣,外套,97,West Virginia,L,银色,夏,2.6,是,快递,是,Yes,8,Venmo,每年
10,57,男,手提包,配饰,31,Missouri,M,粉色,春,4.8,是,两日达,是,Yes,4,现金,每季
11,53,男,鞋子,鞋履,34,Arkansas,L,紫色,秋,4.1,是,门店自提,是,Yes,26,银行转账,双周
12,30,男,短裤,服装,68,Hawaii,S,橄榄绿,冬,4.9,是,门店自提,是,Yes,10,银行转账,每两周
13,61,男,大衣,外套,72,Delaware,M,金色,冬,4.5,是,快递,是,Yes,37,Venmo,每两周
14,65,男,连衣裙,服装,51,New Hampshire,M,紫罗兰色,春,4.7,是,快递,是,Yes,31,PayPal,每周
15,64,男,大衣,外套,53,New York,L,青绿色,冬,4.7,是,包邮,是,Yes,34,借记卡,每周
16,64,男,半身裙,服装,81,Rhode Island,M,青绿色,冬,2.8,是,门店自提,是,Yes,8,PayPal,每月
17,25,男,太阳镜,配饰,36,Alabama,S,灰色,春,4.1,是,次日达,是,Yes,44,借记卡,双周
18,53,男,连衣裙,服装,38,Mississippi,XL,薰衣草紫,冬,4.7,是,两日达,是,Yes,36,Venmo,每季
19,52,男,毛衣,服装,48,Montana,S,黑色,夏,4.6,是,包邮,是,Yes,17,现金,每周
20,66,男,长裤,服装,90,Rhode Island,M,绿色,夏,3.3,是,标准快递,是,Yes,46,借记卡,双周
21,21,男,长裤,服装,51,Louisiana,M,黑色,冬,2.8,是,快递,是,Yes,50,现金,每三个月
22,31,男,长裤,服装,62,North Carolina,M,炭灰色,冬,4.1,是,门店自提,是,Yes,22,借记卡,每季
23,56,男,长裤,服装,37,California,M,桃色,夏,3.2,是,门店自提,是,Yes,32,借记卡,每年
24,31,男,长裤,服装,88,Oklahoma,XL,白色,冬,4.4,是,快递,是,Yes,40,信用卡,每周
25,18,男,夹克,外套,22,Florida,M,绿色,秋,2.9,是,门店自提,是,Yes,16,借记卡,每周
26,18,男,卫衣,服装,25,Texas,M,银色,夏,3.6,是,快递,是,Yes,14,PayPal,每年
27,38,男,首饰,配饰,20,Nevada,M,红色,春,3.6,是,次日达,是,Yes,13,信用卡,每年
