客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,历史购买次数,支付方式,购买频率,年龄段,购买频率天数,客户类型
1,55,男,女式衬衫,服装,53,Kentucky,L,灰色,冬,3.1,是,快递,是,14,Venmo,每两周,中年,14,忠实客户
2,19,男,毛衣,服装,64,Maine,L,栗色,冬,3.1,是,快递,是,2,现金,每两周,青年,14,回头客
3,50,男,牛仔裤,服装,73,Massachusetts,S,栗色,春,3.1,是,包邮,是,23,信用卡,每周,中年,7,忠实客户
4,21,男,凉鞋,鞋履,90,Rhode Island,M,栗色,春,3.5,是,次日达,是,49,PayPal,每周,青年,7,忠实客户
5,45,男,女式衬衫,服装,49,Oregon,M,绿松石色,春,2.7,是,包邮,是,31,PayPal,每年,中年,365,忠实客户
6,46,男,运动鞋,鞋履,20,Wyoming,M,白色,夏,2.9,是,标准快递,是,14,Venmo,每周,中年,7,忠实客户
7,63,男,衬衫,服装,85,Montana,M,灰色,秋,3.2,是,包邮,是,49,现金,每季,老年,90,忠实客户
8,27,男,短裤,服装,34,Louisiana,L,炭灰色,冬,3.2,是,包邮,是,19,信用卡,每周,青年,7,忠实客户
9,26,男,大衣,外套,97,West Virginia,L,银色,夏,2.6,是,快递,是,8,Venmo,每年,青年,365,回头客
10,57,男,手提包,配饰,31,Missouri,M,粉色,春,4.8,是,两日达,是,4,现金,每季,中年,90,回头客
11,53,男,鞋子,鞋履,34,Arkansas,L,紫色,秋,4.1,是,门店自提,是,26,银行转账,双周,中年,14,忠实客户
12,30,男,短裤,服装,68,Hawaii,S,橄榄绿,冬,4.9,是,门店自提,是,10,银行转账,每两周,青年,14,回头客
13,61,男,大衣,外套,72,Delaware,M,金色,冬,4.5,是,快递,是,37,Venmo,每两周,老年,14,忠实客户
14,65,男,连衣裙,服装,51,New Hampshire,M,紫罗兰色,春,4.7,是,快递,是,31,PayPal,每周,老年,7,忠实客户
15,64,男,大衣,外套,53,New York,L,青绿色,冬,4.7,是,包邮,是,34,借记卡,每周,老年,7,忠实客户
