customer_city,customer_state,total_orders,total_customers,total_revenue,avg_order_value,avg_monthly_orders,active_months,first_month,last_month,avg_mom_growth,early_avg_revenue,recent_avg_revenue,growth_rate_pct,revenue_share_pct,revenue_rank,market_size_score,growth_score,opportunity_score
adamantina,SP,35,35,6108.5,161.18839285714284,2.5,14,2017-05,2018-08,405.36720739130794,,619.445,,0.04820502461161844,335.0,2,1,1.5
aguas de lindoia,SP,22,22,3758.36,137.04680555555555,1.8333333333333333,12,2017-02,2018-07,147.16723853354623,,517.035,,0.029658972955606495,453.0,1,1,1.0
aguas lindas de goias,GO,23,23,2624.0,96.10227272727273,2.090909090909091,11,2017-03,2018-08,112.27555691151538,,247.75,,0.020707208738788046,514.0,1,1,1.0
alagoinhas,BA,40,40,7428.33,180.72321666666667,2.6666666666666665,15,2017-02,2018-08,180.79870895813409,,1239.24,,0.05862041916562554,288.0,3,1,2.0
alegrete,RS,35,35,5296.24,131.26253125,2.1875,16,2017-03,2018-08,92.34122708294063,,749.3066666666667,,0.0417951018333532,379.0,2,1,1.5
alem paraiba,MG,28,28,3548.3199999999997,118.83852941176471,1.6470588235294117,17,2016-10,2018-08,73.49228408760466,89.38000000000001,203.05666666666664,127.18356082643389,0.028001449280494056,467.0,1,5,3.0
alfenas,MG,41,41,6278.6,130.40543492063492,2.7333333333333334,15,2017-04,2018-08,34.99243505265283,,320.94,,0.04954736310493699,328.0,2,1,1.5
almirante tamandare,PR,35,35,5041.83,136.12123958333333,2.1875,16,2017-02,2018-08,89.65504111862357,,296.33500000000004,,0.03978743377876667,398.0,2,1,1.5
altamira,PA,24,24,6335.1,250.95637777777776,1.6,15,2017-02,2018-08,94.07527054733282,,249.86,,0.04999323097602751,326.0,2,1,1.5
alvorada,RS,49,49,7282.89,135.142125,3.0625,16,2017-04,2018-08,61.56141622736471,,278.07666666666665,,0.05747268424223784,292.0,3,1,2.0
americana,SP,213,211,27730.2,117.53625063730281,11.210526315789474,19,2017-02,2018-08,35.23246862434915,,1914.6233333333332,,0.21883195113122728,77.0,5,1,3.0
amparo,SP,62,61,12466.42,165.57286554621848,3.6470588235294117,17,2017-02,2018-08,90.86411221025887,,759.0500000000001,,0.09837833885876603,173.0,4,1,2.5
ananindeua,PA,83,81,18092.25,220.68983201058205,3.9523809523809526,21,2016-10,2018-08,156.44043123330007,237.45,1091.5233333333333,359.68554783463185,0.14277438921659225,128.0,4,5,4.5
anapolis,GO,109,108,19795.91,151.10234413580247,6.055555555555555,18,2017-02,2018-08,50.94516023357123,,786.39,,0.15621876545131924,113.0,4,1,2.5
andradina,SP,40,39,7087.49,187.7553711484594,2.3529411764705883,17,2017-01,2018-08,104.4811486345448,,471.90000000000003,,0.05593069164027168,299.0,3,1,2.0
angra dos reis,RJ,81,80,21077.05,179.23755791576843,4.2631578947368425,19,2017-01,2018-08,94.35111400003638,,334.3866666666667,,0.16632883915696364,104.0,5,1,3.0
aparecida,SP,23,21,3750.8999999999996,163.22897435897434,1.7692307692307692,13,2017-04,2018-08,261.75663486345286,,118.28999999999999,,0.029600102613689054,454.0,1,1,1.0
aparecida de goiania,GO,104,101,16509.47,137.507276558098,4.9523809523809526,21,2016-10,2018-08,130.62812362001847,74.15,955.1366666666667,1188.1141829624632,0.13028393348199663,136.0,4,5,4.5
apucarana,PR,50,49,8068.11,125.52521957671956,2.7777777777777777,18,2017-02,2018-08,61.68676974365268,,393.75,,0.06366922175971922,265.0,3,1,2.0
aracaju,SE,211,209,42124.4,167.2890703583298,10.047619047619047,21,2016-10,2018-08,113.93069330372535,79.99,3543.4366666666665,4329.8495645288995,0.33242330175160184,47.0,5,5,5.0
aracati,CE,21,21,3413.0,151.7375,1.9090909090909092,11,2017-02,2018-06,74.99678780170072,,485.34000000000003,,0.0269335760005654,477.0,1,1,1.0
aracatuba,SP,137,137,18805.23,113.25541419545368,7.2105263157894735,19,2017-02,2018-08,21.34758099730568,,1459.7966666666669,,0.14840084717641736,120.0,4,1,2.5
aracruz,ES,38,36,4758.28,104.60422222222222,2.533333333333333,15,2017-02,2018-08,243.1247461761318,,292.32666666666665,,0.03754980838323186,414.0,2,1,1.5
araguaina,TO,38,38,8946.12,240.58522222222226,2.533333333333333,15,2017-02,2018-08,135.14646697849062,,539.3133333333334,,0.07059800847646591,240.0,3,1,2.0
araguari,MG,54,53,12089.449999999999,165.25534970238095,3.375,16,2017-02,2018-08,149.85473728161395,,1092.6799999999998,,0.09540349263991658,180.0,4,1,2.5
arapiraca,AL,28,27,10114.23,373.62720833333333,1.75,16,2017-02,2018-08,251.34012736877523,,278.7966666666667,,0.07981610969592692,213.0,3,1,2.0
arapongas,PR,30,30,6926.85,160.35552083333334,1.875,16,2017-02,2018-08,148.158126760931,,955.02,,0.054663006422360515,306.0,3,1,2.0
araraquara,SP,148,147,22478.81,136.19000456904206,7.4,20,2017-01,2018-08,75.01641850245254,,1993.5866666666668,,0.17739078158138574,95.0,5,1,3.0
araras,SP,92,91,14873.05,188.4704523809524,4.842105263157895,19,2017-02,2018-08,99.90064862340263,,1125.6000000000001,,0.11737017947120104,149.0,4,1,2.5
araruama,RJ,74,72,18836.77,228.20258245149913,4.111111111111111,18,2017-03,2018-08,434.0829931273772,,308.9966666666667,,0.14864974403755354,119.0,4,1,2.5
araucaria,PR,53,53,6190.87,88.84998315746753,3.3125,16,2017-01,2018-08,104.69289305092033,,603.4533333333333,,0.0488550447274012,330.0,2,1,1.5
araxa,MG,73,73,14252.01,154.10550375939852,3.8421052631578947,19,2017-01,2018-08,113.62534979873973,,378.51666666666665,,0.11246926296390802,154.0,4,1,2.5
arcos,MG,25,25,5989.360000000001,194.05720512820514,1.9230769230769231,13,2017-02,2018-06,106.12584977711931,,578.85,,0.04726483526362332,344.0,2,1,1.5
armacao dos buzios,RJ,28,27,5579.360000000001,193.6977692307692,2.1538461538461537,13,2017-07,2018-08,51.38720299861592,,701.1666666666666,,0.04402933389818769,361.0,2,1,1.5
arraial do cabo,RJ,27,26,6030.27,162.03444444444443,2.25,12,2017-06,2018-07,53.8076811084972,,228.20499999999998,,0.047587675168159836,341.0,2,1,1.5
artur nogueira,SP,40,40,6723.88,196.76767156862743,2.3529411764705883,17,2017-02,2018-08,134.69560735008278,,863.9433333333333,,0.05306127541713498,312.0,3,1,2.0
aruja,SP,67,66,8567.61,125.9946829573935,3.526315789473684,19,2017-01,2018-08,88.71325660032318,,431.91,,0.06761100939882922,246.0,3,1,2.0
assis,SP,83,80,13646.76,136.09742212904055,4.368421052631579,19,2017-02,2018-08,139.73759600336746,,470.3766666666667,,0.10769295271651799,162.0,4,1,2.5
atibaia,SP,151,149,22750.469999999998,127.55699848484849,7.55,20,2017-01,2018-08,39.01894944622527,,1384.3233333333335,,0.1795345774373229,92.0,5,1,3.0
avare,SP,63,63,9713.47,138.05143694885362,3.5,18,2017-03,2018-08,45.97912577395486,,1111.1866666666667,,0.07665352548321476,219.0,3,1,2.0
bage,RS,60,60,10145.01,164.26428333333334,3.0,20,2016-10,2018-08,66.326064633155,154.10000000000002,861.11,458.79948085658657,0.08005900904233694,211.0,3,5,4.0
balneario camboriu,SC,94,93,18607.87,184.39961027568924,4.947368421052632,19,2017-01,2018-08,112.9358257693215,,685.35,,0.1468433872996311,124.0,4,1,2.5
barbacena,MG,79,78,14209.710000000001,163.74004678362576,4.157894736842105,19,2017-01,2018-08,90.12950660463117,,702.1033333333334,,0.112135453920596,155.0,4,1,2.5
barra bonita,SP,28,28,4107.45,128.58411111111113,1.8666666666666667,15,2017-02,2018-08,268.6254045761486,,131.07666666666668,,0.032413805081606316,438.0,1,1,1.0
barra do garcas,MT,24,24,4868.51,125.42388888888888,2.0,12,2017-01,2018-07,462.28813130635103,,751.3,,0.03841968476252935,408.0,2,1,1.5
barra do pirai,RJ,49,48,6015.99,119.12012301587303,2.7222222222222223,18,2017-02,2018-08,162.01084644150671,,159.09,,0.04747498502304173,343.0,2,1,1.5
barra mansa,RJ,119,119,21469.47,145.86067301587303,5.95,20,2017-01,2018-08,106.46650769911639,,531.0666666666667,,0.16942560853702282,100.0,5,1,3.0
barreiras,BA,51,50,12687.51,234.677484375,3.1875,16,2017-03,2018-08,138.5431066260618,,840.3066666666667,,0.10012306324141033,172.0,4,1,2.5
barretos,SP,67,66,10288.82,129.37109064327487,3.526315789473684,19,2017-01,2018-08,121.202122765999,,472.9166666666667,,0.08119388087493035,210.0,4,1,2.5
barueri,SP,413,408,56499.01,127.78499535306972,20.65,20,2016-10,2018-08,47.80043396269462,161.24,4167.246666666667,2484.499297114033,0.44586005853844257,34.0,5,5,5.0
batatais,SP,27,26,6130.55,244.1073076923077,2.076923076923077,13,2017-07,2018-08,244.6294873384638,,349.6666666666667,,0.04837903145334492,333.0,2,1,1.5
bauru,SP,259,257,43909.21,161.40159798914866,12.95,20,2017-01,2018-08,154.0444163514451,,3323.0733333333333,,0.34650807051268273,43.0,5,1,3.0
bebedouro,SP,51,51,6140.51,116.13792195767195,2.8333333333333335,18,2016-10,2018-08,44.85175096778051,119.78999999999999,288.00666666666666,140.4263015833264,0.04845763046212477,331.0,2,5,3.5
belem,PA,416,412,85812.62999999999,180.46278496656768,20.8,20,2017-01,2018-08,49.07921977063836,,6071.709999999999,,0.6771875159429822,20.0,5,1,3.0
belford roxo,RJ,102,100,14335.72,132.04470426065163,5.368421052631579,19,2017-02,2018-08,34.68869559164943,,714.4366666666666,,0.11312985764512903,152.0,4,1,2.5
belo horizonte,MG,2649,2614,399816.64,132.95642289715738,126.14285714285714,21,2016-10,2018-08,23.582884887358354,1378.98,28437.22,1962.1923450666436,3.1551397186436265,3.0,5,5,5.0
bento goncalves,RS,53,52,8146.78,142.90246616541353,2.789473684210526,19,2017-01,2018-08,84.56294896963739,,262.47,,0.06429004344854561,260.0,3,1,2.0
bertioga,SP,47,47,10442.34,170.47686274509803,2.764705882352941,17,2017-02,2018-08,127.03979199520676,,320.21,,0.08240537884961736,207.0,4,1,2.5
betim,MG,194,193,31985.1,144.131970515018,10.777777777777779,18,2017-02,2018-08,58.83794314593575,,2295.94,,0.2524093529843786,68.0,5,1,3.0
biguacu,SC,22,22,3738.8900000000003,165.94416666666666,1.4666666666666666,15,2017-03,2018-08,129.3538806720184,,519.5533333333334,,0.029505326098082034,456.0,1,1,1.0
