customer_city,customer_state,order_month,order_count,unique_customers,total_revenue,avg_order_value,avg_freight,prev_revenue,mom_growth_pct
abadia dos dourados,MG,2017-09,1,1,135.59,135.59,15.59,,
abadia dos dourados,MG,2018-03,1,1,219.63,219.63,20.63,135.59,61.98097204808614
abadia dos dourados,MG,2018-07,1,1,58.28,58.28,18.38,219.63,-73.46446296043345
abadiania,GO,2018-01,1,1,1025.52,1025.52,75.53,,
abaete,MG,2017-02,1,1,154.23,154.23,19.23,,
abaete,MG,2017-05,1,1,220.97,220.97,12.07,154.23,43.27303378071712
abaete,MG,2017-07,2,2,288.77,144.385,16.89,220.97,30.682898130967995
abaete,MG,2017-08,1,1,466.89,466.89,17.89,288.77,61.682307718945886
abaete,MG,2017-11,1,1,77.41,77.41,23.25,466.89,-83.42007753432287
abaete,MG,2018-03,2,2,190.28,95.14,18.655,77.41,145.80803513757914
abaete,MG,2018-06,2,2,388.6,194.3,16.85,190.28,104.22535211267608
abaete,MG,2018-08,1,1,109.38999999999999,109.38999999999999,23.4,388.6,-71.8502316006176
abaetetuba,PA,2017-04,1,1,283.66,283.66,28.05,,
abaetetuba,PA,2017-06,1,1,1537.04,1537.04,37.04,283.66,441.85997320736084
abaetetuba,PA,2017-09,1,1,64.05,64.05,34.15,1537.04,-95.83289959922969
abaetetuba,PA,2017-12,1,1,619.65,619.65,39.38,64.05,867.4473067915692
abaetetuba,PA,2018-03,2,2,241.39,80.46333333333332,43.56333333333333,619.65,-61.04413781973695
abaetetuba,PA,2018-04,1,1,66.94,66.94,37.04,241.39,-72.26894237540908
abaetetuba,PA,2018-05,1,1,841.23,841.23,43.63,66.94,1156.6925605019421
abaetetuba,PA,2018-07,1,1,114.69999999999999,114.69999999999999,64.8,841.23,-86.36520333321445
abaetetuba,PA,2018-08,2,2,903.61,225.9025,57.230000000000004,114.69999999999999,687.8029642545773
abaiara,CE,2017-11,1,1,131.7,131.7,37.8,,
abaiara,CE,2018-05,1,1,200.45,200.45,31.45,131.7,52.201974183750956
abaira,BA,2018-05,1,1,35.05,35.05,22.06,,
abaira,BA,2018-08,1,1,167.95,167.95,22.95,35.05,379.17261055634805
abare,BA,2017-08,1,1,166.48,166.48,17.48,,
abare,BA,2018-05,1,1,58.25,58.25,22.06,166.48,-65.0108121095627
abatia,PR,2017-10,1,1,107.78,107.78,17.88,,
abatia,PR,2017-11,1,1,43.089999999999996,43.089999999999996,15.1,107.78,-60.02041195026906
abatia,PR,2018-04,1,1,69.32,69.32,19.32,43.089999999999996,60.87259224878162
abdon batista,SC,2017-04,1,1,156.70000000000002,78.35000000000001,15.65,,
abelardo luz,SC,2017-05,1,1,45.0,45.0,15.1,,
abelardo luz,SC,2017-09,1,1,45.0,45.0,15.1,45.0,0.0
abelardo luz,SC,2017-11,2,2,487.87,243.935,20.435000000000002,45.0,984.1555555555555
abelardo luz,SC,2018-06,1,1,142.63,142.63,23.63,487.87,-70.76475290548711
abelardo luz,SC,2018-08,1,1,77.08,77.08,23.18,142.63,-45.9580733366052
abrantes,BA,2018-03,1,1,200.35,200.35,61.35,,
abre campo,MG,2017-06,1,1,131.16,131.16,21.26,,
abre campo,MG,2017-09,1,1,36.28,36.28,12.48,131.16,-72.33912778286063
abre campo,MG,2017-11,1,1,42.92,42.92,17.92,36.28,18.30209481808159
abre campo,MG,2017-12,2,2,156.93,78.465,16.975,42.92,265.6337371854613
abreu e lima,PE,2017-05,2,2,163.39,81.695,23.25,,
abreu e lima,PE,2017-06,1,1,74.67,74.67,17.68,163.39,-54.29952873492869
abreu e lima,PE,2017-12,2,2,876.9100000000001,438.45500000000004,59.955,74.67,1074.3806080085712
abreu e lima,PE,2018-01,1,1,78.65,78.65,28.75,876.9100000000001,-91.03100660273005
abreu e lima,PE,2018-02,3,3,284.0,94.66666666666667,21.24,78.65,261.0934520025429
abreu e lima,PE,2018-06,1,1,579.93,289.965,40.02,284.0,104.2007042253521
abreu e lima,PE,2018-07,1,1,814.37,271.45666666666665,46.123333333333335,579.93,40.42556860310729
acaiaca,MG,2017-08,1,1,45.0,45.0,15.1,,
acaiaca,MG,2018-07,1,1,162.9,162.9,27.9,45.0,262.0
acailandia,MA,2017-04,1,1,77.52,77.52,26.62,,
acailandia,MA,2017-06,1,1,354.45,354.45,54.46,77.52,357.2368421052632
acailandia,MA,2017-09,1,1,214.96,214.96,35.06,354.45,-39.35392862180843
acailandia,MA,2017-11,1,1,183.84,183.84,34.84,214.96,-14.477112020841087
acailandia,MA,2018-04,1,1,80.47999999999999,80.47999999999999,52.48,183.84,-56.22280243690167
acailandia,MA,2018-06,1,1,112.77000000000001,112.77000000000001,52.77,80.47999999999999,40.12176938369784
acailandia,MA,2018-07,1,1,209.46,209.46,39.46,112.77000000000001,85.7408885341846
acajutiba,BA,2018-05,1,1,50.95,50.95,22.06,,
acarau,CE,2017-03,1,1,54.739999999999995,54.739999999999995,24.84,,
acarau,CE,2017-08,1,1,337.44,337.44,27.45,54.739999999999995,516.4413591523565
acarau,CE,2017-10,1,1,217.46,108.73,35.83,337.44,-35.55595068752963
acarau,CE,2017-11,1,1,155.05,155.05,36.15,217.46,-28.69953094822036
acarau,CE,2018-01,2,2,571.67,285.835,28.64,155.05,268.70041921960654
acarau,CE,2018-08,1,1,143.04,143.04,20.05,571.67,-74.97857155351865
acari,RN,2018-05,1,1,412.43,412.43,48.43,,
acegua,RS,2018-03,1,1,121.55000000000001,121.55000000000001,21.65,,
acegua,RS,2018-06,1,1,160.84,160.84,50.84,121.55000000000001,32.32414644179349
acopiara,CE,2017-05,1,1,103.91,103.91,28.92,,
acopiara,CE,2017-06,1,1,141.17000000000002,141.17000000000002,38.27,103.91,35.8579539986527
acopiara,CE,2018-01,2,2,276.85,92.28333333333335,27.623333333333335,141.17000000000002,96.11107175745555
acopiara,CE,2018-02,1,1,86.71,86.71,28.81,276.85,-68.67979050027091
acopiara,CE,2018-03,1,1,55.04,55.04,37.04,86.71,-36.524045669472955
acopiara,CE,2018-04,1,1,237.99,237.99,38.09,55.04,332.3946220930233
acreuna,GO,2017-10,1,1,74.0,37.0,15.1,,
