customer_city,customer_state,product_category_name_english,order_count,total_revenue,unique_customers,avg_item_value,city_total_revenue,category_share_pct,category_rank,growth_rate_pct,opportunity_score,total_revenue_city,total_orders,growth_opp_score
sao paulo,SP,health_beauty,1500,207702.9,1475,121.10956268221574,2077261.31,9.998881652496575,1.0,3721.7128447565096,5.0,2077261.31,14810,42.58120899711286
sao paulo,SP,bed_bath_table,1623,196578.9,1574,100.8096923076923,2077261.31,9.463368862341156,2.0,3721.7128447565096,5.0,2077261.31,14810,42.19720113675292
sao paulo,SP,watches_gifts,760,169652.84,749,205.3908474576271,2077261.31,8.167140031121072,3.0,3721.7128447565096,5.0,2077261.31,14810,41.26769568111438
sao paulo,SP,sports_leisure,1229,160224.11000000002,1193,118.24657564575647,2077261.31,7.71323806151283,4.0,3721.7128447565096,5.0,2077261.31,14810,40.942209665902986
sao paulo,SP,computers_accessories,980,156232.01,960,130.41069282136897,2077261.31,7.521057136523666,5.0,3721.7128447565096,5.0,2077261.31,14810,40.80439972529323
sao jose dos campos,SP,sports_leisure,42,8196.79,41,167.2814285714286,85468.38,9.590435667553312,1.0,20633.512802105768,5.0,85468.38,657,38.11149392316194
sao jose dos campos,SP,auto,39,7729.42,39,193.2355,85468.38,9.043601856031435,2.0,20633.512802105768,5.0,85468.38,657,37.71936793514578
sao jose dos campos,SP,health_beauty,63,7405.87,63,101.45027397260274,85468.38,8.665040802224166,3.0,20633.512802105768,5.0,85468.38,657,37.4479077142873
sao jose dos campos,SP,computers_accessories,55,6675.75,53,107.67338709677419,85468.38,7.8107833563710924,4.0,20633.512802105768,5.0,85468.38,657,36.83533303818409
sao jose dos campos,SP,bed_bath_table,44,5107.4,43,98.21923076923076,85468.38,5.97577724065906,5.0,20633.512802105768,5.0,85468.38,657,35.51947880426848
eunapolis,BA,computers_accessories,3,3626.6,3,725.3199999999999,7715.63,47.003290722857365,1.0,269.19179537468335,4.0,7715.63,36,34.20814587260219
campos do jordao,SP,housewares,1,1488.59,1,1488.59,3913.12,38.04100053154516,1.0,3479.1119860017498,3.0,3913.12,25,32.393559847982665
