customer_state,city_count,total_orders,total_customers,total_revenue,avg_order_value,avg_growth_rate_pct,revenue_share_pct
SP,627,39954,38643,5699072.72,124.39859253923558,2454.9522072890795,37.44211530391096
RJ,145,12166,11743,2028795.65,145.66309951177485,1229.3763007518387,13.328905312752875
MG,738,11187,10845,1796867.69,141.1078757656667,751.985743750337,11.805170865560061
RS,372,5268,5093,850530.81,140.86300264988407,1516.3177808229873,5.587869153834695
PR,359,4855,4703,772216.97,138.58883165829144,1347.3614785986008,5.073358114717433
SC,237,3491,3397,587097.91,145.42925687391627,454.5693600029743,3.85715163166143
BA,352,3214,3119,583592.19,161.03537251655627,269.19179537468335,3.8341195387382094
DF,5,2050,1990,343299.54,147.78284115368058,1942.7088627986877,2.2554302413708442
GO,174,1911,1850,325126.68,146.12435056179774,1105.5652372080203,2.1360370781402773
ES,95,1978,1912,315796.92,143.08877208880833,1016.9458169707877,2.0747418522604755
PE,151,1575,1533,304323.89,176.72699767711964,1124.657126363443,1.9993656405062887
CE,161,1266,1245,263136.22,186.62143262411345,1015.7099646204539,1.728768375827161
PA,89,928,904,201685.07,194.86480193236716,224.7949817238333,1.325042865222003
MT,99,874,844,179973.37,175.5837756097561,2203.1019978969507,1.182400015273613
MA,119,709,694,146095.79,184.69758533501897,307.7265941565365,0.959829025413096
PB,90,509,496,134768.57,233.56771230502602,,0.8854107650837619
MS,66,692,672,133599.21,166.5825561097257,,0.8777282324854094
PI,70,469,457,104339.0,202.20736434108528,1328.4177875303076,0.6854927214711459
RN,88,468,458,100074.84,194.3200776699029,435.4344053218699,0.6574777832103958
AL,65,393,383,93656.0,221.40898345153664,2277.51087902524,0.615306896961842
SE,45,333,327,70066.09,187.844745308311,4329.8495645288995,0.4603244684819889
TO,55,271,264,59482.12,194.38601307189543,,0.3907892573023824
RO,35,238,227,56150.74,210.3023970037453,,0.36890255393686666
AM,5,144,140,26946.81,167.3714906832298,,0.17703679469676623
AC,8,78,74,19447.99,218.51674157303373,,0.12777059002140745
AP,6,67,66,16141.81,199.28160493827158,,0.10604944715178559
RR,2,39,38,8737.7,198.58409090909092,2510.11301072153,0.05740547400682805
